module,area,area_name,image,canvas_w,canvas_h,zoom,panel_x0,panel_y0,panel_w,panel_h,fiducials,marker_number,note_index,tag,strref,name,vanilla_px,vanilla_world_x,vanilla_world_y,anchor_img_x,anchor_img_y,off_map,live_px,live_img_x,live_img_y,north_axis
ebo_m12aa,m12aa,Ebon Hawk,ebo_m12aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",1,46,Cargo,39412,Cargo Hold,"144,172",27.3722343,30.5576344,606.0,774.0,False,"160,168",670.0,758.0,0
ebo_m12aa,m12aa,Ebon Hawk,ebo_m12aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",2,47,Cockpit,39414,Cockpit,"228,17",52.7783394,80.174881,942.0,154.0,False,"227,28",938.0,198.0,0
ebo_m12aa,m12aa,Ebon Hawk,ebo_m12aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",3,48,PortQuarters,39415,Crew Quarters,"131,98",23.2197571,54.2395248,554.0,478.0,False,"131,108",554.0,518.0,0
ebo_m12aa,m12aa,Ebon Hawk,ebo_m12aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",4,49,Swoop,39416,Swoop Hangar,"284,182",69.9854584,27.4138718,1166.0,814.0,False,"265,166",1090.0,750.0,0
ebo_m12aa,m12aa,Ebon Hawk,ebo_m12aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",5,50,Starboard,39415,Crew Quarters,"319,92",80.764389,56.2321472,1306.0,454.0,False,"314,107",1286.0,514.0,0
ebo_m12aa,m12aa,Ebon Hawk,ebo_m12aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",6,51,Engine,39417,Engine Room,"217,244",49.4640312,7.27915573,898.0,1062.0,False,"217,212",898.0,934.0,0
ebo_m12aa,m12aa,Ebon Hawk,ebo_m12aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",7,52,sw_exit,39418,Exit Ramp,"274,110",66.9202194,50.4058647,1126.0,526.0,False,"275,115",1130.0,546.0,0
tar_m02ac,m02ac,Taris - Upper City South,tar_m02ac.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",1,39,SW_MAPNOTE001,40480,To Upper City,"251,87",186.98494,112.309097,1034.0,434.0,False,,,,0
tar_m02ac,m02ac,Taris - Upper City South,tar_m02ac.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",2,40,SW_MAPNOTE001,40504,Clinic,"252,132",187.726273,75.5783691,1038.0,614.0,False,"248,142",1022.0,654.0,0
tar_m02ac,m02ac,Taris - Upper City South,tar_m02ac.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",3,41,SW_MAPNOTE001,40505,Equipment Emporium,"109,142",76.243515,67.3831177,466.0,654.0,False,"124,146",526.0,670.0,0
tar_m02ac,m02ac,Taris - Upper City South,tar_m02ac.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",4,42,SW_MAPNOTE001,40506,To Upper City Cantina,"126,190",90.1174316,28.0428314,534.0,846.0,False,,,,0
tar_m02ac,m02ac,Taris - Upper City South,tar_m02ac.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",5,50,SW_MAPNOTE001,40498,To Apartments,"126,75",90.13797,121.791664,534.0,386.0,False,"126,71",534.0,370.0,0
