module,area,area_name,image,canvas_w,canvas_h,zoom,panel_x0,panel_y0,panel_w,panel_h,fiducials,marker_number,note_index,tag,strref,name,vanilla_px,vanilla_world_x,vanilla_world_y,anchor_img_x,anchor_img_y,badge_img_x,badge_img_y,nearest_note_px,crowded,off_map,live_px,live_img_x,live_img_y,north_axis
danm13,m13aa,Dantooine - Jedi Enclave,danm13.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",1,32,SW_WAYPOINT001,33403,To Outer Courtyard,"261,72",82.4650726,125.256119,1074.0,374.0,1104.0,344.0,99.6,False,False,"262,69",1078.0,362.0,3
danm13,m13aa,Dantooine - Jedi Enclave,danm13.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",2,33,SW_WAYPOINT001,33404,Ebon Hawk,"212,196",192.317352,81.6225586,878.0,870.0,908.0,840.0,45.5,False,False,"213,192",882.0,854.0,3
danm13,m13aa,Dantooine - Jedi Enclave,danm13.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",3,34,SW_WAYPOINT001,42974,Aratech Mercantile,"250,171",170.377197,115.175217,1030.0,770.0,1060.0,740.0,45.5,False,False,"238,170",982.0,766.0,3
danm13,m13aa,Dantooine - Jedi Enclave,danm13.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",4,35,SW_WAYPOINT001,33407,Jedi Council Chamber,"161,93",100.891403,36.4466171,674.0,458.0,704.0,428.0,102.2,False,False,"164,90",686.0,446.0,3
danm14aa,m14aa,Dantooine - Courtyard,danm14aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",1,15,dan14_mapnote,33411,Strange Ruins,"380,166",339.04425,82.4378281,1550.0,750.0,1580.0,720.0,59.6,False,False,"375,161",1530.0,730.0,0
danm14aa,m14aa,Dantooine - Courtyard,danm14aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",2,26,SW_WAYPOINT001,33412,To Jedi Enclave,"127,158",109.168137,90.536911,538.0,718.0,568.0,688.0,70.6,False,False,"124,155",526.0,706.0,0
danm14aa,m14aa,Dantooine - Courtyard,danm14aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",3,27,SW_WAYPOINT001,33413,Path South,"195,177",170.375595,71.7239609,810.0,794.0,840.0,764.0,70.6,False,False,,,,0
danm14aa,m14aa,Dantooine - Courtyard,danm14aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",4,28,SW_WAYPOINT001,33413,Path South,"325,189",288.929291,59.2873268,1330.0,842.0,1360.0,812.0,59.6,False,False,"323,192",1322.0,854.0,0
danm14ab,m14ab,Dantooine - Matale Grounds,danm14ab.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",1,19,SW_WAYPOINT001,33424,Matale Estate,"208,139",327.263672,98.5051575,862.0,642.0,892.0,612.0,161.3,False,False,,,,0
danm14ab,m14ab,Dantooine - Matale Grounds,danm14ab.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",2,20,SW_WAYPOINT001,33425,Path North,"45,81",146.58905,167.897491,210.0,410.0,240.0,380.0,58.0,False,False,"41,74",194.0,382.0,0
