module,area,note_index,tag,strref,name,rule,confidence,old_world_x,old_world_y,new_world_x,new_world_y,old_px,old_py,new_px,new_py,move_px,drawn_before,drawn_after,roundtrip_ok,room,review,review_reason,reason
danm13,m13aa,32,SW_WAYPOINT001,33403,To Outer Courtyard,transition,high,82.465073,125.256119,80.120783,125.883134,261,72,262,69,3.2,True,True,True,M13aa_12a,False,,"names door dan13_door03 -> danm14aa (Dantooine - Courtyard), name match 1.00; centred on its drawn transition line (6 px long) and set 4 px clear of it"
danm13,m13aa,33,SW_WAYPOINT001,33404,Ebon Hawk,transition,high,192.317352,81.622559,188.664285,82.373495,212,196,213,192,4.1,True,True,True,M13aa_01a,False,,"names trigger dan13_tom12aa -> ebo_m12aa (Ebon Hawk), name match 1.00; centred on its drawn transition line (6 px long) and set 4 px clear of it"
danm13,m13aa,34,SW_WAYPOINT001,42974,Aratech Mercantile,object,medium,170.377197,115.175217,168.945007,104.669998,250,171,238,170,12.0,True,True,True,M13aa_06a,False,,"names the door 'Aratech Mercantile' (Door List), 12 px away, name match 1.00"
danm13,m13aa,35,SW_WAYPOINT001,33407,Jedi Council Chamber,room_centre,medium,100.891403,36.446617,98.660114,39.022811,161,93,164,90,4.2,True,True,True,M13aa_04a,False,,"sole note in room M13aa_04a (57 px across), only note in it"
danm14aa,m14aa,15,dan14_mapnote,33411,Strange Ruins,transition,high,339.044250,82.437828,334.832046,87.633764,380,166,375,161,7.1,True,True,True,m14aa_01a,False,,"names door man14aa_door04 -> danm15 (Dantooine - Ruins), name match 1.00; centred on its drawn diagonal transition line (5 px long) and set 4 px clear of it"
danm14aa,m14aa,26,SW_WAYPOINT001,33412,To Jedi Enclave,transition,high,109.168137,90.536911,106.121622,93.641556,127,158,124,155,4.2,True,True,True,m14aa_01c,False,,"names door man14aa_door03 -> danm13 (Dantooine - Jedi Enclave), name match 1.00; centred on its drawn diagonal transition line (10 px long) and set 4 px clear of it"
danm14aa,m14aa,27,SW_WAYPOINT001,33413,Path South,below_threshold,n/a,170.375595,71.723961,,,195,177,,,1.4,True,True,,m14aa_01i,,,"the only exit nearby is trigger to14bw -> danm14ab (Dantooine - Matale Grounds), 4 px away; matched on position, not name; centred on its drawn transition line (8 px long) and set 4 px clear of it"
danm14aa,m14aa,28,SW_WAYPOINT001,33413,Path South,transition,medium,288.929291,59.287327,287.449807,56.593505,325,189,323,192,3.6,True,True,True,m14aa_01a,False,,"the only exit nearby is trigger to14be -> danm14ab (Dantooine - Matale Grounds), 5 px away; matched on position, not name; centred on its drawn transition line (2 px long) and set 4 px clear of it"
danm14ab,m14ab,19,SW_WAYPOINT001,33424,Matale Estate,none,n/a,327.263672,98.505157,,,208,139,,,0.0,True,True,,m14ab_02a,,,"already on a doorway (5 px); it marks that way through, and no room could be derived from the door, so leave it there"
danm14ab,m14ab,20,SW_WAYPOINT001,33425,Path North,transition,medium,146.589050,167.897491,141.817005,176.640544,45,81,41,74,8.1,True,True,True,m14ab_02c,False,,"the only exit nearby is trigger to14aw -> danm14aa (Dantooine - Courtyard), 4 px away; matched on position, not name; centred on its drawn diagonal transition line (6 px long) and set 4 px clear of it"
danm14ab,m14ab,21,SW_WAYPOINT001,33413,Path South,transition,medium,146.402481,99.284492,132.955004,97.618921,45,139,33,140,12.0,True,True,True,m14ab_02c,False,,"the only exit nearby is trigger to14cw -> danm14ac (Dantooine - Grove), 6 px away; matched on position, not name; centred on its drawn diagonal transition line (6 px long) and set 4 px clear of it; pulled 5 px onto walkable floor of m14ab_02c"
danm14ab,m14ab,22,SW_WAYPOINT001,33425,Path North,transition,medium,503.272247,131.312317,503.981430,135.678116,367,112,368,108,4.1,True,True,True,m14ab_09a,False,,"the only exit nearby is trigger to14ae -> danm14aa (Dantooine - Courtyard), 4 px away; matched on position, not name"
danm14ab,m14ab,23,SW_WAYPOINT001,33413,Path South,transition,medium,514.351990,50.521210,511.805522,40.148649,377,179,375,188,9.2,True,True,True,m14ab_09b,False,,"the only exit nearby is trigger to14ce -> danm14ac (Dantooine - Grove), 5 px away; matched on position, not name; centred on its drawn transition line (5 px long) and set 4 px clear of it"
danm14ac,m14ac,27,SW_WAYPOINT001,33425,Path North,transition,medium,285.484314,430.294037,279.075080,437.470170,79,45,66,31,19.1,True,True,True,m14ac_10a,False,,"the only exit nearby is trigger to14bw -> danm14ab (Dantooine - Matale Grounds), 7 px away; matched on position, not name; centred on its drawn transition line (17 px long) and set 4 px clear of it"
danm14ac,m14ac,28,SW_WAYPOINT001,33425,Path North,transition,medium,407.099609,436.566742,405.834715,440.040345,329,33,326,26,7.6,True,True,True,m14ac_10c,True,the walkable-floor gate moved it 13 px,"the only exit nearby is trigger to14be -> danm14ab (Dantooine - Matale Grounds), 8 px away; matched on position, not name; centred on its drawn transition line (3 px long) and set 4 px clear of it; pulled 13 px onto walkable floor of m14ac_10c"
danm14ac,m14ac,29,SW_WAYPOINT001,33413,Path South,transition,medium,372.878876,350.675140,370.732047,341.859633,258,200,254,217,17.5,True,True,True,m14ac_10d,False,,"the only exit nearby is trigger to14de -> danm14ad (Dantooine - Sandral Grounds), 6 px away; matched on position, not name; centred on its drawn diagonal transition line (8 px long) and set 4 px clear of it; pulled 2 px onto walkable floor of m14ac_10d"
danm14ac,m14ac,30,SW_WAYPOINT001,33413,Path South,transition,medium,280.985107,386.403809,280.050154,379.384199,70,130,68,144,14.1,True,True,True,m14ac_10b,False,,"the only exit nearby is trigger to14dw -> danm14ad (Dantooine - Sandral Grounds), 8 px away; matched on position, not name; centred on its drawn diagonal transition line (6 px long) and set 4 px clear of it; pulled 3 px onto walkable floor of m14ac_10b"
danm14ac,m14ac,31,MN_grove,33453,Ancient Grove,none,n/a,437.278503,380.109253,,,390,143,,,0.0,True,True,,m14ac_10e,,,"on floor of m14ac_10e, too large to centre in (250 px across)"
danm14ad,m14ad,22,mapnote,33459,Sandral Estate,transition,high,336.331268,145.387039,338.278169,141.424194,78,134,81,139,5.8,True,True,True,m14ad_05a,False,,"names door dan14ad_door01 -> danm16 (Dantooine - Sandral Estate), name match 1.00; centred on its drawn diagonal transition line (6 px long) and set 4 px clear of it"
danm14ad,m14ad,23,SW_WAYPOINT001,33460,Cave Entrance,transition,medium,562.570068,117.476196,560.678194,119.487097,414,171,411,168,4.2,True,True,True,m14ad_05e,False,,"names trigger to14ae -> danm14ae (Dantooine - Crystal Cave), name match 0.50; centred on its drawn diagonal transition line (4 px long) and set 4 px clear of it"
danm14ad,m14ad,24,SW_WAYPOINT001,33425,Path North,transition,medium,531.232605,152.875092,537.764252,163.361292,367,124,377,110,17.2,True,True,True,m14ad_05e,False,,"the only exit nearby is trigger to14ce -> danm14ac (Dantooine - Grove), 4 px away; matched on position, not name; centred on its drawn diagonal transition line (11 px long) and set 4 px clear of it"
danm14ad,m14ad,25,SW_WAYPOINT001,33425,Path North,transition,medium,357.586731,204.628983,358.354668,207.011742,110,55,111,52,3.2,True,True,True,m14ad_05a,False,,"the only exit nearby is trigger to14cw -> danm14ac (Dantooine - Grove), 3 px away; matched on position, not name"
danm14ae,m14ae,1,SW_WAYPOINT001,33461,Exit,transition,low,13.598537,151.774033,8.645374,150.959063,60,190,43,192,17.1,True,True,True,M14ae_01a,False,,"the only exit nearby is trigger to14ad -> danm14ad (Dantooine - Sandral Grounds), 17 px away; matched on position, not name"
danm14ae,m14ae,17,SW_WAYPOINT001,39324,Crystal Formation,none,n/a,112.471443,188.602737,,,383,73,,,0.0,True,True,,M14ae_02a,,,"on floor of M14ae_02a, too large to centre in (190 px across)"
danm15,m15aa,2,SW_WAYPOINT001,33461,Exit,below_threshold,n/a,147.482468,91.913780,,,203,56,,,1.4,True,True,,m15aa_01a,,,"the only exit nearby is door man15_door02 -> danm14aa (Dantooine - Courtyard), 6 px away; matched on position, not name; centred on its drawn transition line (15 px long) and set 4 px clear of it"
danm15,m15aa,3,SW_WAYPOINT001,33475,Star Map,none,n/a,147.537247,188.215637,,,203,216,,,0.0,True,True,,m15aa_01a,,,"on floor of m15aa_01a, but 2 notes share that room"
danm16,m16aa,21,SW_WAYPOINT001,33461,Exit,below_threshold,n/a,45.333054,30.608582,,,226,29,,,2.2,True,True,,M16aa_01a,,,"the only exit nearby is door dan16_door03 -> danm14ad (Dantooine - Sandral Grounds), 7 px away; matched on position, not name; centred on its drawn transition line (6 px long) and set 4 px clear of it"
danm16,m16aa,22,SW_WAYPOINT001,33461,Exit,transition,medium,19.614140,63.626541,18.147938,63.172370,325,151,331,149,6.3,True,True,True,M16aa_01e,False,,"the only exit nearby is door dan16_door04 -> danm14ad (Dantooine - Sandral Grounds), 6 px away; matched on position, not name; centred on its drawn transition line (7 px long) and set 4 px clear of it"
danm16,m16aa,33,SW_MAPNOTE001,43297,Holding Cell,none,n/a,37.918983,51.430214,,,255,106,,,0.0,True,True,,M16aa_01c,,,"already on a doorway (6 px); it marks that way through, and no room could be derived from the door, so leave it there"
ebo_m12aa,m12aa,46,Cargo,39412,Cargo Hold,room_centre,medium,27.372234,30.557634,32.146379,31.694086,144,172,160,168,16.5,True,True,True,M12aa_01k,False,,"sole note in room M12aa_01k (69 px across), only note in it"
