module,area,north_axis,index,tag,strref,name,world_x,world_y,px,py,drawn,dist_to_object,black_frac,luminance
danm13,m13aa,3,32,SW_WAYPOINT001,33403,To Outer Courtyard,82.46507263183594,125.25611877441406,261,72,True,0.0,0.08,115.70666666666666
danm13,m13aa,3,33,SW_WAYPOINT001,33404,Ebon Hawk,192.31735229492188,81.62255859375,212,196,True,4.123105625617661,0.0,115.16
danm13,m13aa,3,34,SW_WAYPOINT001,42974,Aratech Mercantile,170.377197265625,115.17521667480469,250,171,True,1.4142135623730951,0.32,96.24
danm13,m13aa,3,35,SW_WAYPOINT001,33407,Jedi Council Chamber,100.89140319824219,36.446617126464844,161,93,True,4.242640687119285,0.0,187.34666666666666
danm14aa,m14aa,0,15,dan14_mapnote,33411,Strange Ruins,339.04425048828125,82.43782806396484,380,166,True,2.23606797749979,0.0,126.18666666666667
danm14aa,m14aa,0,26,SW_WAYPOINT001,33412,To Jedi Enclave,109.16813659667969,90.53691101074219,127,158,True,1.0,0.0,120.16
danm14aa,m14aa,0,27,SW_WAYPOINT001,33413,Path South,170.37559509277344,71.72396087646484,195,177,True,2.0,0.0,121.44
danm14aa,m14aa,0,28,SW_WAYPOINT001,33413,Path South,288.9292907714844,59.28732681274414,325,189,True,2.23606797749979,0.0,128.09333333333333
danm14ab,m14ab,0,19,SW_WAYPOINT001,33424,Matale Estate,327.263671875,98.50515747070312,208,139,True,3.0,0.0,138.12
danm14ab,m14ab,0,20,SW_WAYPOINT001,33425,Path North,146.58905029296875,167.89749145507812,45,81,True,2.0,0.0,125.38666666666667
danm14ab,m14ab,0,21,SW_WAYPOINT001,33413,Path South,146.40248107910156,99.28449249267578,45,139,True,1.0,0.0,123.78666666666666
danm14ab,m14ab,0,22,SW_WAYPOINT001,33425,Path North,503.2722473144531,131.31231689453125,367,112,True,1.0,0.0,123.82666666666667
danm14ab,m14ab,0,23,SW_WAYPOINT001,33413,Path South,514.3519897460938,50.521209716796875,377,179,True,1.0,0.0,123.34666666666666
danm14ac,m14ac,0,27,SW_WAYPOINT001,33425,Path North,285.48431396484375,430.2940368652344,79,45,True,0.0,0.0,119.41333333333333
danm14ac,m14ac,0,28,SW_WAYPOINT001,33425,Path North,407.099609375,436.5667419433594,329,33,True,2.23606797749979,0.0,118.41333333333333
danm14ac,m14ac,0,29,SW_WAYPOINT001,33413,Path South,372.8788757324219,350.6751403808594,258,200,True,2.0,0.0,117.64
danm14ac,m14ac,0,30,SW_WAYPOINT001,33413,Path South,280.985107421875,386.40380859375,70,130,True,1.4142135623730951,0.0,110.28
danm14ac,m14ac,0,31,MN_grove,33453,Ancient Grove,437.27850341796875,380.1092529296875,390,143,True,4.0,0.0,121.57333333333334
danm14ad,m14ad,0,22,mapnote,33459,Sandral Estate,336.3312683105469,145.3870391845703,78,134,True,4.0,0.0,83.54666666666667
danm14ad,m14ad,0,23,SW_WAYPOINT001,33460,Cave Entrance,562.570068359375,117.4761962890625,414,171,True,3.0,0.0,108.45333333333333
danm14ad,m14ad,0,24,SW_WAYPOINT001,33425,Path North,531.2326049804688,152.87509155273438,367,124,True,2.0,0.0,117.89333333333333
danm14ad,m14ad,0,25,SW_WAYPOINT001,33425,Path North,357.58673095703125,204.6289825439453,110,55,True,2.23606797749979,0.0,125.28
danm14ae,m14ae,0,1,SW_WAYPOINT001,33461,Exit,13.59853744506836,151.77403259277344,60,190,True,6.4031242374328485,0.0,68.28
danm14ae,m14ae,0,17,SW_WAYPOINT001,39324,Crystal Formation,112.47144317626953,188.6027374267578,383,73,True,16.15549442140351,0.0,140.58666666666667
danm15,m15aa,1,2,SW_WAYPOINT001,33461,Exit,147.4824676513672,91.91378021240234,203,56,True,1.4142135623730951,0.0,119.65333333333334
danm15,m15aa,1,3,SW_WAYPOINT001,33475,Star Map,147.53724670410156,188.21563720703125,203,216,True,5.0990195135927845,0.0,120.48
danm16,m16aa,1,21,SW_WAYPOINT001,33461,Exit,45.33305358886719,30.60858154296875,226,29,True,1.0,0.0,172.21333333333334
danm16,m16aa,1,22,SW_WAYPOINT001,33461,Exit,19.614139556884766,63.62654113769531,325,151,True,2.23606797749979,0.0,132.17333333333335
danm16,m16aa,1,33,SW_MAPNOTE001,43297,Holding Cell,37.918983459472656,51.430213928222656,255,106,True,4.123105625617661,0.0,160.78666666666666
ebo_m12aa,m12aa,0,46,Cargo,39412,Cargo Hold,27.372234344482422,30.557634353637695,144,172,True,8.54400374531753,0.0,127.33333333333333
ebo_m12aa,m12aa,0,47,Cockpit,39414,Cockpit,52.77833938598633,80.17488098144531,228,17,True,3.0,0.0,124.13333333333334
ebo_m12aa,m12aa,0,48,PortQuarters,39415,Crew Quarters,23.219757080078125,54.239524841308594,131,98,True,4.242640687119285,0.0,148.05333333333334
ebo_m12aa,m12aa,0,49,Swoop,39416,Swoop Hangar,69.98545837402344,27.41387176513672,284,182,True,21.18962010041709,0.0,124.53333333333333
ebo_m12aa,m12aa,0,50,Starboard,39415,Crew Quarters,80.76438903808594,56.232147216796875,319,92,True,15.811388300841896,0.0,160.30666666666667
ebo_m12aa,m12aa,0,51,Engine,39417,Engine Room,49.46403121948242,7.279155731201172,217,244,True,15.0,0.0,74.12
ebo_m12aa,m12aa,0,52,sw_exit,39418,Exit Ramp,66.92021942138672,50.40586471557617,274,110,True,8.54400374531753,0.0,132.17333333333335
ebo_m41aa,m12aa,0,15,cargo,39412,Cargo Hold,27.819416046142578,31.098352432250977,146,170,True,13.416407864998739,0.0,145.65333333333334
ebo_m41aa,m12aa,0,16,portquarters,39415,Crew Quarters,21.674591064453125,53.28863525390625,126,101,True,72.53275122315436,0.0,152.57333333333332
