module,area,north_axis,note_index,tag,strref,name,old_world_x,old_world_y,new_world_x,new_world_y,old_px,new_px,move_px,rule,confidence,source,reason,roundtrip_px,in_bounds,key_unique
danm13,m13aa,3,32,SW_WAYPOINT001,33403,To Outer Courtyard,82.4650726,125.256119,80.1207832,126.771086,"261,72","263,69",3.6,transition,high,auto,"names door dan13_door03 -> danm14aa (Dantooine - Courtyard), name match 1.00; centred on its drawn transition line (6 px long) and set 3 px clear of it","263,69",True,True
danm13,m13aa,3,33,SW_WAYPOINT001,33404,Ebon Hawk,192.317352,81.6225586,189.546752,82.3734952,"212,196","213,193",3.2,transition,high,auto,"names trigger dan13_tom12aa -> ebo_m12aa (Ebon Hawk), name match 1.00; centred on its drawn transition line (6 px long) and set 3 px clear of it","213,193",True,True
danm13,m13aa,3,34,SW_WAYPOINT001,42974,Aratech Mercantile,170.377197,115.175217,168.945007,104.669998,"250,171","238,170",12.0,object,medium,auto,"names the door 'Aratech Mercantile' (Door List), 12 px away, name match 1.00","238,170",True,True
danm13,m13aa,3,35,SW_WAYPOINT001,33407,Jedi Council Chamber,100.891403,36.4466171,98.6601143,39.022811,"161,93","164,90",4.2,room_centre,medium,auto,"sole note in room M13aa_04a (57 px across), only note in it","164,90",True,True
danm14aa,m14aa,0,15,dan14_mapnote,33411,Strange Ruins,339.04425,82.4378281,336.65444,86.6324655,"380,166","377,162",5.0,transition,high,auto,"names door man14aa_door04 -> danm15 (Dantooine - Ruins), name match 1.00; centred on its drawn transition line (5 px long) and set 3 px clear of it","377,162",True,True
danm14aa,m14aa,0,26,SW_WAYPOINT001,33412,To Jedi Enclave,109.168137,90.536911,109.766409,95.6441536,"127,158","128,153",5.1,transition,high,auto,"names door man14aa_door03 -> danm13 (Dantooine - Jedi Enclave), name match 1.00; centred on its drawn transition line (8 px long) and set 3 px clear of it","128,153",True,True
danm14aa,m14aa,0,28,SW_WAYPOINT001,33413,Path South,288.929291,59.2873268,287.449807,55.5922064,"325,189","323,193",4.5,transition,medium,auto,"the only exit nearby is trigger to14be -> danm14ab (Dantooine - Matale Grounds), 5 px away; matched on position, not name; centred on its drawn transition line (2 px long) and set 3 px clear of it","323,193",True,True
danm14ab,m14ab,0,20,SW_WAYPOINT001,33425,Path North,146.58905,167.897491,139.601504,176.640544,"45,81","39,74",9.2,transition,medium,auto,"the only exit nearby is trigger to14aw -> danm14aa (Dantooine - Courtyard), 4 px away; matched on position, not name; centred on its drawn transition line (6 px long) and set 3 px clear of it","39,74",True,True
danm14ab,m14ab,0,21,SW_WAYPOINT001,33413,Path South,146.402481,99.2844925,126.308504,95.224326,"45,139","27,142",18.2,transition,medium,auto,"the only exit nearby is trigger to14cw -> danm14ac (Dantooine - Grove), 6 px away; matched on position, not name; centred on its drawn transition line (6 px long) and set 3 px clear of it","27,142",True,True
danm14ab,m14ab,0,22,SW_WAYPOINT001,33425,Path North,503.272247,131.312317,503.98143,135.678116,"367,112","368,108",4.1,transition,medium,auto,"the only exit nearby is trigger to14ae -> danm14aa (Dantooine - Courtyard), 4 px away; matched on position, not name","368,108",True,True
danm14ab,m14ab,0,23,SW_WAYPOINT001,33413,Path South,514.35199,50.5212097,511.805522,38.9513515,"377,179","375,189",10.2,transition,medium,auto,"the only exit nearby is trigger to14ce -> danm14ac (Dantooine - Grove), 5 px away; matched on position, not name; centred on its drawn transition line (5 px long) and set 3 px clear of it","375,189",True,True
danm14ac,m14ac,0,27,SW_WAYPOINT001,33425,Path North,285.484314,430.294037,279.07508,437.984205,"79,45","66,30",19.8,transition,medium,auto,"the only exit nearby is trigger to14bw -> danm14ab (Dantooine - Matale Grounds), 7 px away; matched on position, not name; centred on its drawn transition line (17 px long) and set 3 px clear of it","66,30",True,True
danm14ac,m14ac,0,28,SW_WAYPOINT001,33425,Path North,407.099609,436.566742,409.247474,446.208767,"329,33","333,14",19.4,transition,medium,auto,"the only exit nearby is trigger to14be -> danm14ab (Dantooine - Matale Grounds), 8 px away; matched on position, not name; centred on its drawn transition line (3 px long) and set 3 px clear of it","333,14",True,True
