module,area,north_axis,note_index,tag,strref,name,old_world_x,old_world_y,new_world_x,new_world_y,old_px,new_px,move_px,rule,confidence,source,reason,roundtrip_px,in_bounds,key_unique
danm13,m13aa,3,32,SW_WAYPOINT001,33403,To Outer Courtyard,82.4650726,125.256119,80.1207832,125.883134,"261,72","262,69",3.2,transition,high,auto,"names door dan13_door03 -> danm14aa (Dantooine - Courtyard), name match 1.00; centred on its drawn transition line (6 px long) and set 4 px clear of it","262,69",True,True
danm13,m13aa,3,33,SW_WAYPOINT001,33404,Ebon Hawk,192.317352,81.6225586,188.664285,82.3734952,"212,196","213,192",4.1,transition,high,auto,"names trigger dan13_tom12aa -> ebo_m12aa (Ebon Hawk), name match 1.00; centred on its drawn transition line (6 px long) and set 4 px clear of it","213,192",True,True
danm13,m13aa,3,34,SW_WAYPOINT001,42974,Aratech Mercantile,170.377197,115.175217,165.72013,111.675905,"250,171","246,166",12.0,object,medium,user override,"names the door 'Aratech Mercantile' (Door List), 12 px away, name match 1.00","246,166",True,True
danm13,m13aa,3,35,SW_WAYPOINT001,33407,Jedi Council Chamber,100.891403,36.4466171,97.7701331,36.2000008,"161,93","161,89",4.2,room_centre,medium,user override,"sole note in room M13aa_04a (57 px across), only note in it","161,89",True,True
danm14aa,m14aa,0,15,dan14_mapnote,33411,Strange Ruins,339.04425,82.4378281,334.832046,87.6337642,"380,166","375,161",7.1,transition,high,auto,"names door man14aa_door04 -> danm15 (Dantooine - Ruins), name match 1.00; centred on its drawn diagonal transition line (5 px long) and set 4 px clear of it","375,161",True,True
danm14aa,m14aa,0,26,SW_WAYPOINT001,33412,To Jedi Enclave,109.168137,90.536911,111.588803,88.6350629,"127,158","130,160",4.2,transition,high,user override,"names door man14aa_door03 -> danm13 (Dantooine - Jedi Enclave), name match 1.00; centred on its drawn diagonal transition line (10 px long) and set 4 px clear of it","130,160",True,True
danm14aa,m14aa,0,28,SW_WAYPOINT001,33413,Path South,288.929291,59.2873268,287.449807,56.5935051,"325,189","323,192",3.6,transition,medium,auto,"the only exit nearby is trigger to14be -> danm14ab (Dantooine - Matale Grounds), 5 px away; matched on position, not name; centred on its drawn transition line (2 px long) and set 4 px clear of it","323,192",True,True
danm14ab,m14ab,0,19,SW_WAYPOINT001,33424,Matale Estate,327.263672,98.5051575,324.595763,100.013515,"208,139","206,138",0.0,none,n/a,user override,"already on a doorway (5 px); it marks that way through, and no room could be derived from the door, so leave it there","206,138",True,True
danm14ab,m14ab,0,20,SW_WAYPOINT001,33425,Path North,146.58905,167.897491,142.924755,179.035139,"45,81","42,72",8.1,transition,medium,user override,"the only exit nearby is trigger to14aw -> danm14aa (Dantooine - Courtyard), 4 px away; matched on position, not name; centred on its drawn diagonal transition line (6 px long) and set 4 px clear of it","42,72",True,True
danm14ab,m14ab,0,21,SW_WAYPOINT001,33413,Path South,146.402481,99.2844925,130.739504,92.8297313,"45,139","31,144",12.0,transition,medium,user override,"the only exit nearby is trigger to14cw -> danm14ac (Dantooine - Grove), 6 px away; matched on position, not name; centred on its drawn diagonal transition line (6 px long) and set 4 px clear of it; pulled 5 px onto walkable floor of m14ab_02c","31,144",True,True
