module,area,north_axis,note_index,tag,strref,name,old_world_x,old_world_y,new_world_x,new_world_y,old_px,new_px,move_px,rule,confidence,source,reason,roundtrip_px,in_bounds,key_unique
danm13,m13aa,3,32,SW_WAYPOINT001,33403,To Outer Courtyard,82.4650726,125.256119,80.1207832,125.883134,"261,72","262,69",3.2,transition,high,auto,"names door dan13_door03 -> danm14aa (Dantooine - Courtyard), name match 1.00; centred on its drawn transition line (6 px long) and set 4 px clear of it","262,69",True,True
danm13,m13aa,3,33,SW_WAYPOINT001,33404,Ebon Hawk,192.317352,81.6225586,188.664285,82.3734952,"212,196","213,192",4.1,transition,high,auto,"names trigger dan13_tom12aa -> ebo_m12aa (Ebon Hawk), name match 1.00; centred on its drawn transition line (6 px long) and set 4 px clear of it","213,192",True,True
danm13,m13aa,3,34,SW_WAYPOINT001,42974,Aratech Mercantile,170.377197,115.175217,168.945007,104.669998,"250,171","238,170",12.0,object,medium,auto,"names the door 'Aratech Mercantile' (Door List), 12 px away, name match 1.00","238,170",True,True
danm13,m13aa,3,35,SW_WAYPOINT001,33407,Jedi Council Chamber,100.891403,36.4466171,98.6601143,39.022811,"161,93","164,90",4.2,room_centre,medium,auto,"sole note in room M13aa_04a (57 px across), only note in it","164,90",True,True
danm14aa,m14aa,0,15,dan14_mapnote,33411,Strange Ruins,339.04425,82.4378281,334.832046,87.6337642,"380,166","375,161",7.1,transition,high,auto,"names door man14aa_door04 -> danm15 (Dantooine - Ruins), name match 1.00; centred on its drawn diagonal transition line (5 px long) and set 4 px clear of it","375,161",True,True
danm14aa,m14aa,0,26,SW_WAYPOINT001,33412,To Jedi Enclave,109.168137,90.536911,106.121622,93.6415563,"127,158","124,155",4.2,transition,high,auto,"names door man14aa_door03 -> danm13 (Dantooine - Jedi Enclave), name match 1.00; centred on its drawn diagonal transition line (10 px long) and set 4 px clear of it","124,155",True,True
danm14aa,m14aa,0,28,SW_WAYPOINT001,33413,Path South,288.929291,59.2873268,287.449807,56.5935051,"325,189","323,192",3.6,transition,medium,auto,"the only exit nearby is trigger to14be -> danm14ab (Dantooine - Matale Grounds), 5 px away; matched on position, not name; centred on its drawn transition line (2 px long) and set 4 px clear of it","323,192",True,True
danm14ab,m14ab,0,20,SW_WAYPOINT001,33425,Path North,146.58905,167.897491,141.817005,176.640544,"45,81","41,74",8.1,transition,medium,auto,"the only exit nearby is trigger to14aw -> danm14aa (Dantooine - Courtyard), 4 px away; matched on position, not name; centred on its drawn diagonal transition line (6 px long) and set 4 px clear of it","41,74",True,True
danm14ab,m14ab,0,21,SW_WAYPOINT001,33413,Path South,146.402481,99.2844925,132.955004,97.6189206,"45,139","33,140",12.0,transition,medium,auto,"the only exit nearby is trigger to14cw -> danm14ac (Dantooine - Grove), 6 px away; matched on position, not name; centred on its drawn diagonal transition line (6 px long) and set 4 px clear of it; pulled 5 px onto walkable floor of m14ab_02c","33,140",True,True
danm14ab,m14ab,0,22,SW_WAYPOINT001,33425,Path North,503.272247,131.312317,503.98143,135.678116,"367,112","368,108",4.1,transition,medium,auto,"the only exit nearby is trigger to14ae -> danm14aa (Dantooine - Courtyard), 4 px away; matched on position, not name","368,108",True,True
