module,area,north_axis,note_index,tag,strref,name,old_world_x,old_world_y,new_world_x,new_world_y,old_px,new_px,move_px,rule,confidence,source,reason,roundtrip_px,in_bounds,key_unique
danm13,m13aa,3,32,SW_WAYPOINT001,33403,To Outer Courtyard,82.4650726,125.256119,82.1744995,127.640999,"261,72","264,71",3.2,transition,high,auto,"names door dan13_door03 -> danm14aa (Dantooine - Courtyard), name match 1.00","264,71",True,True
danm13,m13aa,3,34,SW_WAYPOINT001,42974,Aratech Mercantile,170.377197,115.175217,168.945007,104.669998,"250,171","238,170",12.0,object,medium,auto,"names the door 'Aratech Mercantile' (Door List), 12 px away, name match 1.00","238,170",True,True
danm13,m13aa,3,35,SW_WAYPOINT001,33407,Jedi Council Chamber,100.891403,36.4466171,98.6601143,39.022811,"161,93","164,90",4.2,room_centre,medium,auto,"sole note in room M13aa_04a (57 px across), only note in it","164,90",True,True
danm14aa,m14aa,0,15,dan14_mapnote,33411,Strange Ruins,339.04425,82.4378281,344.074005,73.5656967,"380,166","385,175",10.3,transition,high,auto,"names door man14aa_door04 -> danm15 (Dantooine - Ruins), name match 1.00","385,175",True,True
danm14aa,m14aa,0,26,SW_WAYPOINT001,33412,To Jedi Enclave,109.168137,90.536911,108.525002,93.9749985,"127,158","127,155",3.0,transition,high,auto,"names door man14aa_door03 -> danm13 (Dantooine - Jedi Enclave), name match 1.00","127,155",True,True
danm14aa,m14aa,0,27,SW_WAYPOINT001,33413,Path South,170.375595,71.7239609,169.140026,68.5208015,"195,177","193,180",3.6,transition,medium,auto,"the only exit nearby is trigger to14bw -> danm14ab (Dantooine - Matale Grounds), 4 px away; matched on position, not name","193,180",True,True
danm14aa,m14aa,0,28,SW_WAYPOINT001,33413,Path South,288.929291,59.2873268,287.006111,54.3685532,"325,189","323,194",5.4,transition,medium,auto,"the only exit nearby is trigger to14be -> danm14ab (Dantooine - Matale Grounds), 5 px away; matched on position, not name","323,194",True,True
danm14ab,m14ab,0,20,SW_WAYPOINT001,33425,Path North,146.58905,167.897491,144.875888,172.905597,"45,81","44,77",4.1,transition,medium,auto,"the only exit nearby is trigger to14aw -> danm14aa (Dantooine - Courtyard), 4 px away; matched on position, not name","44,77",True,True
danm14ab,m14ab,0,21,SW_WAYPOINT001,33413,Path South,146.402481,99.2844925,139.232468,98.0433197,"45,139","39,140",6.1,transition,medium,auto,"the only exit nearby is trigger to14cw -> danm14ac (Dantooine - Grove), 6 px away; matched on position, not name","39,140",True,True
danm14ab,m14ab,0,22,SW_WAYPOINT001,33425,Path North,503.272247,131.312317,503.98143,135.678116,"367,112","368,108",4.1,transition,medium,auto,"the only exit nearby is trigger to14ae -> danm14aa (Dantooine - Courtyard), 4 px away; matched on position, not name","368,108",True,True
danm14ab,m14ab,0,23,SW_WAYPOINT001,33413,Path South,514.35199,50.5212097,513.109673,44.992856,"377,179","376,184",5.1,transition,medium,auto,"the only exit nearby is trigger to14ce -> danm14ac (Dantooine - Grove), 5 px away; matched on position, not name","376,184",True,True
danm14ac,m14ac,0,27,SW_WAYPOINT001,33425,Path North,285.484314,430.294037,284.645088,433.627014,"79,45","77,38",7.3,transition,medium,auto,"the only exit nearby is trigger to14bw -> danm14ab (Dantooine - Matale Grounds), 7 px away; matched on position, not name","77,38",True,True
danm14ac,m14ac,0,28,SW_WAYPOINT001,33425,Path North,407.099609,436.566742,408.515297,440.301468,"329,33","331,25",8.2,transition,medium,auto,"the only exit nearby is trigger to14be -> danm14ab (Dantooine - Matale Grounds), 8 px away; matched on position, not name","331,25",True,True
danm14ac,m14ac,0,29,SW_WAYPOINT001,33413,Path South,372.878876,350.67514,371.131149,348.010956,"258,200","255,205",5.8,transition,medium,auto,"the only exit nearby is trigger to14de -> danm14ad (Dantooine - Sandral Grounds), 6 px away; matched on position, not name","255,205",True,True
danm14ac,m14ac,0,30,SW_WAYPOINT001,33413,Path South,280.985107,386.403809,278.364784,383.636986,"70,130","65,136",7.8,transition,medium,auto,"the only exit nearby is trigger to14dw -> danm14ad (Dantooine - Sandral Grounds), 8 px away; matched on position, not name","65,136",True,True
danm14ad,m14ad,0,22,mapnote,33459,Sandral Estate,336.331268,145.387039,336.700989,138.707993,"78,134","79,143",9.1,transition,high,auto,"names door dan14ad_door01 -> danm16 (Dantooine - Sandral Estate), name match 1.00","79,143",True,True
danm14ad,m14ad,0,24,SW_WAYPOINT001,33425,Path North,531.232605,152.875092,532.116486,155.95417,"367,124","369,120",4.5,transition,medium,auto,"the only exit nearby is trigger to14ce -> danm14ac (Dantooine - Grove), 4 px away; matched on position, not name","369,120",True,True
danm14ad,m14ad,0,25,SW_WAYPOINT001,33425,Path North,357.586731,204.628983,358.354668,207.011742,"110,55","111,52",3.2,transition,medium,auto,"the only exit nearby is trigger to14cw -> danm14ac (Dantooine - Grove), 3 px away; matched on position, not name","111,52",True,True
