module,note_index,name,decision,target_px,decided,reason
danm13,34,Aratech Mercantile,override,"246,166","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 246,166"
danm13,35,Jedi Council Chamber,override,"161,89","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 161,89"
danm14aa,26,To Jedi Enclave,override,"130,160","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 130,160"
danm14ab,19,Matale Estate,override,"206,138","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 206,138"
danm14ab,20,Path North,override,"42,72","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 42,72"
danm14ab,21,Path South,override,"31,144","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 3 px from the marker, target map px 31,144"
danm14ab,22,Path North,override,"367,103","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 367,103"
danm14ac,28,Path North,override,"329,22","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 329,22"
danm14ac,29,Path South,override,"256,218","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 256,218"
danm14ac,30,Path South,override,"66,146","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 66,146"
danm14ad,22,Sandral Estate,override,"84,130","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 84,130"
danm14ae,1,Exit,override,"78,177","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 78,177"
danm16,21,Exit,override,"225,29","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 225,29"
