module,note_index,name,decision,target_px,decided,reason
danm14ac,28,Path North,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"transition proposal, reviewed on its crop and approved: the walkable-floor gate moved it 13 px"
danm14ad,22,Sandral Estate,override,"84,130",2026-08-28 user (atlas annotation),"hand-placed on the atlas: magenta mark 0 px from the marker, target map px 84,130"
ebo_m12aa,51,Engine Room,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"room_centre proposal, reviewed on its crop and approved: moves 32 px from the vanilla position"
ebo_m12aa,52,Exit Ramp,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"transition proposal, reviewed on its crop and approved: the walkable-floor gate moved it 14 px"
ebo_m41aa,21,Engine Room,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"room_centre proposal, reviewed on its crop and approved: moves 29 px from the vanilla position"
end_m01aa,18,Quarters,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"door_room proposal, reviewed on its crop and approved: green-door rule: moved into the room through the door"
kas_m24aa,23,Basket Up,reject,,2026-08-28 user,"1.0 px from waypoint kas22ab_kas24aa, the basket lift's own transition point"
kas_m24aa,24,Jolee's Hut,reject,,2026-08-28 user,2.2 px from waypoint kas24_joleehome; deliberately placed at the hut it names
kas_m25aa,35,Freyyr,reject,,2026-08-28 user,names a character and already sits on him; centring in the room moves it off what it names
korr_m33aa,41,Cantina,reject,,2026-08-28 user,named place marked by its doorway - the game's own convention
lev_m40aa,37,Elevator,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"object proposal, reviewed on its crop and approved: lands in room M40aa_17a, vanilla was in M40aa_12a"
lev_m40ab,19,Elevator,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"object proposal, reviewed on its crop and approved: lands in room M40ab_01a, vanilla was in M40ab_13a"
lev_m40ab,59,Bridge Corridor,reject,,2026-08-28 user,"old and new are both inside the same corridor; no visible change, saves a table entry"
lev_m40ac,16,Elevator,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"object proposal, reviewed on its crop and approved: lands in room M40ac_38a, vanilla was in M40ac_29a"
lev_m40ad,6,To Command Deck,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"transition proposal, reviewed on its crop and approved: lands in room M40ad_21a, vanilla was in M40ad_20a"
manm26aa,38,Holding Cell,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"door_room proposal, reviewed on its crop and approved: green-door rule: moved into the room through the door; the door joins two rooms of similar size (M26aa_10c 98, M26aa_12a 147): which one the note names cannot be derived"
manm26ac,26,To Ahto City East Central,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"transition proposal, reviewed on its crop and approved: lands in room M26ac_01c, vanilla was in M26ac_01b"
manm26ae,70,Tyvark's Shop,reject,,2026-08-28 user,named place marked by its doorway - the game's own convention
manm26ae,72,Visitor's Hotel,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"object proposal, reviewed on its crop and approved: lands in room M26ae_06a, vanilla was in M26ae_07a"
manm26ae,73,Republic Enclave,reject,,2026-08-28 user,named place marked by its doorway - the game's own convention
manm27aa,28,Flow Control,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"door_room proposal, reviewed on its crop and approved: green-door rule: moved into the room through the door"
manm28aa,37,Submersible,reject,,2026-08-28 user,sits on the submersible drawn in the map art; room centre moves it off the mechanism
tar_m02ab,33,Droids by Janice,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"door_room proposal, reviewed on its crop and approved: green-door rule: moved into the room through the door"
tar_m02ab,37,To Upper City South,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"transition proposal, reviewed on its crop and approved: lands in room M02ab_01c, vanilla was in M02ab_02e"
tar_m02ac,40,Clinic,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"door_room proposal, reviewed on its crop and approved: green-door rule: moved into the room through the door"
tar_m02ac,41,Equipment Emporium,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"door_room proposal, reviewed on its crop and approved: green-door rule: moved into the room through the door; the door joins two rooms of similar size (M02ac_02i 205, M02ac_02j 225): which one the note names cannot be derived"
tar_m02ad,26,Yun's Apartment,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),superseded by the green-door rule: there IS a room behind that door on this map and the note now centres in it; confirmed on the crop
tar_m02ad,27,Sarna's Apartment,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"door_room proposal, reviewed on its crop and approved: green-door rule: moved into the room through the door; the door joins two rooms of similar size (M02ad_04a 150, M02ad_09h 153): which one the note names cannot be derived"
tar_m03ab,22,Selven's Apartment,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"door_room proposal, reviewed on its crop and approved: green-door rule: moved into the room through the door"
tar_m03ad,27,Matrik's Apartment,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),superseded by the green-door rule: there IS a room behind that door on this map and the note now centres in it; confirmed on the crop
tar_m03ae,11,To Lower City,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"transition proposal, reviewed on its crop and approved: lands in room M03ae_05a, vanilla was in M03ae_01a"
tar_m04aa,56,Escape Pod,reject,,2026-08-28 user,names an object and already sits on it; room centre would move it off the pod
tar_m05aa,11,Gamorrean Compound,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"door_room proposal, reviewed on its crop and approved: green-door rule: moved into the room through the door"
tar_m08aa,38,Throne Room,reject,,2026-08-28 user,4 px from trigger tar08_davstr and 6 px from Davik; deliberately on the throne
tar_m08aa,59,Barracks,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"door_room proposal, reviewed on its crop and approved: green-door rule: moved into the room through the door"
tar_m08aa,60,Spice Lab,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"door_room proposal, reviewed on its crop and approved: green-door rule: moved into the room through the door; the door joins two rooms of similar size (M08aa_13a 190, M08aa_09c 227): which one the note names cannot be derived"
tat_m18ab,49,To the Dune Sea,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"transition proposal, reviewed on its crop and approved: lands in room m18ab_01a, vanilla was in m18ab_02a"
tat_m18ac,0,Star Map,reject,,2026-08-28 user,true position is outside the area's map image; user chose vanilla invisibility over an inaccurate edge marker
unk_m41aa,23,To Temple,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"transition proposal, reviewed on its crop and approved: lands in room M41aa_02c, vanilla was in M41aa_02b"
unk_m42aa,21,Data Archives,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"door_room proposal, reviewed on its crop and approved: green-door rule: moved into the room through the door"
unk_m44aa,55,Prototype Droid Command Room,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"door_room proposal, reviewed on its crop and approved: green-door rule: moved into the room through the door; the door joins two rooms of similar size (m44aa_06a 110, m44aa_09a 120): which one the note names cannot be derived"
unk_m44aa,57,North Corridor,reject,,2026-08-28 user,"old and new are both inside the same corridor; no visible change, saves a table entry"
unk_m44aa,58,South Corridor,reject,,2026-08-28 user,"old and new are both inside the same corridor; no visible change, saves a table entry"
unk_m44aa,73,Massive Door,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"object proposal, reviewed on its crop and approved: lands in room M44aa_w02, vanilla was in m44aa_02a"
