module,note_index,tag,name,triage,rule,confidence,move_px,old_px,new_px,new_world_x,new_world_y,reason,decision,target_px,note
tat_m18ac,0,tat18_wp_starmap,Star Map,clamp,clamp_to_map,low,33.0,"431,-31","431,2",377.949374,308.039394,"world position is outside this area's map image, so the engine never draws it; clamped to the nearest map edge",,,
ebo_m12aa,51,Engine,Engine Room,big move,room_centre,high,32.0,"217,244","217,212",49.582003,17.606845,"off walkable floor, nearest is room M12aa_01l (45 px across), only note in it",,,
tat_m17af,3,SW_MAPNOTE001,Exit,low confidence,transition,low,30.5,"272,77","300,89",8.574610,3.666680,"the only exit nearby is door TatooineDoor1 -> tat_m17aa (Tatooine - Anchorhead), 30 px away; matched on position, not name",,,
ebo_m41aa,21,SW_MAPNOTE001,Engine Room,big move,room_centre,high,29.0,"217,241","217,212",49.582003,17.606845,"off walkable floor, nearest is room M12aa_01l (45 px across), only note in it",,,
tat_m17ae,2,SW_MAPNOTE001,Exit,low confidence,transition,low,28.2,"305,74","330,87",8.574610,3.666680,"the only exit nearby is door TatooineDoor1 -> tat_m17aa (Tatooine - Anchorhead), 28 px away; matched on position, not name",,,
tat_m17ag,3,SW_MAPNOTE001,Exit,low confidence,transition,low,28.2,"305,74","330,87",8.574610,3.666680,"the only exit nearby is door TatooineDoor1 -> tat_m17aa (Tatooine - Anchorhead), 28 px away; matched on position, not name",,,
tar_m10aa,31,SW_MAPNOTE001,To Lower City,big move,transition,medium,28.0,"228,189","228,217",153.240005,57.003201,"names door ptar_secdoor -> tar_m03aa (Taris - Lower City), name match 1.00",,,
ebo_m12aa,49,Swoop,Swoop Hangar,big move,room_centre,medium,24.8,"284,182","265,166",64.168719,32.276325,"sole note in room M12aa_01e (79 px across), only note in it",,,
ebo_m41aa,17,SwoopRacer,Swoop Hangar,big move,room_centre,medium,24.2,"280,185","265,166",64.168719,32.276325,"sole note in room M12aa_01e (79 px across), only note in it",,,
unk_m44aa,57,nco,North Corridor,big move,room_centre,medium,24.0,"236,39","260,39",48.678597,84.638426,"sole note in room M44aa_w07 (71 px across), only note in it",,,
unk_m44aa,58,sco,South Corridor,big move,room_centre,medium,24.0,"237,226","261,225",142.345572,85.069776,"sole note in room M44aa_w15 (71 px across), only note in it",,,
tat_m17ad,2,SW_MAPNOTE001,Exit,low confidence,transition,low,23.8,"275,84","297,93",8.574610,3.666680,"the only exit nearby is door TatooineDoor1 -> tat_m17aa (Tatooine - Anchorhead), 24 px away; matched on position, not name",,,
kas_m25aa,35,SW_MAPNOTE001,Freyyr,big move,room_centre,medium,22.8,"287,107","293,129",190.499388,130.331302,"sole note in room M25aa_04A (70 px across), only note in it",,,
tar_m04aa,56,SW_MAPNOTE001,Escape Pod,big move,room_centre,medium,22.6,"315,54","293,59",303.000000,243.750000,"sole note in room M04aa_04f (73 px across), only note in it",,,
